,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
69,36,1,318,Research & Development,9,3,Medical,90,4,1,79,2,1,Research Scientist,3,2,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1
716,41,2,840,Research & Development,9,3,Medical,999,1,1,64,3,5,Research Director,3,1,19419,3735,2,0,17,3,2,1,21,2,4,18,16,0,11,0
29,46,1,705,Sales,2,4,Marketing,38,2,0,83,3,5,Manager,1,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0
732,30,2,109,Research & Development,5,3,Medical,1017,2,0,60,3,1,Laboratory Technician,2,1,2422,25725,0,0,17,3,1,0,4,3,3,3,2,1,2,1
513,20,1,1362,Research & Development,10,1,Medical,701,4,1,32,3,1,Research Scientist,3,1,1009,26999,1,1,11,3,4,0,1,5,3,1,0,1,1,1
1078,44,1,136,Research & Development,28,3,Life Sciences,1523,4,1,32,3,4,Research Director,1,2,16328,22074,3,0,13,3,3,1,24,1,4,20,6,14,17,0
1157,35,0,208,Research & Development,8,4,Life Sciences,1630,3,0,52,3,2,Healthcare Representative,3,2,4148,12250,1,0,12,3,4,1,15,5,3,14,11,2,9,0
563,25,1,883,Sales,26,1,Medical,781,3,0,32,3,2,Sales Executive,4,1,6180,22807,1,0,23,4,2,0,6,5,2,6,5,1,4,0
215,41,1,896,Sales,6,3,Life Sciences,298,4,0,75,3,3,Manager,4,1,13591,14674,3,1,18,3,3,0,16,3,3,1,0,0,0,0
471,38,1,1495,Research & Development,10,3,Medical,634,3,0,76,3,2,Healthcare Representative,3,2,9824,22174,3,0,19,3,3,1,18,4,3,1,0,0,0,0
1259,30,1,305,Research & Development,16,3,Life Sciences,1763,3,1,58,4,2,Healthcare Representative,3,2,5294,9128,3,0,16,3,3,1,10,3,3,7,0,1,7,0
1068,28,2,289,Research & Development,2,2,Medical,1504,3,1,38,2,1,Laboratory Technician,1,1,2561,5355,7,0,11,3,3,0,8,2,2,0,0,0,0,1
1023,56,1,1255,Research & Development,1,2,Life Sciences,1441,1,0,90,3,1,Research Scientist,1,2,2066,10494,2,0,22,4,4,1,5,3,4,3,2,1,0,0
1468,49,2,1023,Sales,2,3,Medical,2065,4,1,63,2,2,Sales Executive,2,2,5390,13243,2,0,14,3,4,0,17,3,2,9,6,0,8,0
511,36,1,913,Research & Development,9,2,Medical,699,2,1,48,2,2,Manufacturing Director,2,1,8847,13934,2,1,11,3,3,1,13,2,3,3,2,0,2,0
827,28,2,773,Research & Development,6,3,Life Sciences,1154,3,1,39,2,1,Research Scientist,3,1,2703,22088,1,1,14,3,4,1,3,2,3,3,1,0,2,0
1293,43,0,343,Research & Development,9,3,Life Sciences,1813,1,1,52,3,1,Research Scientist,3,1,2438,24978,4,0,13,3,3,0,7,2,2,3,2,1,2,0
1087,34,1,1440,Sales,7,2,Technical Degree,1541,2,1,55,3,1,Sales Representative,3,2,2308,4944,0,1,25,4,2,1,12,4,3,11,10,5,7,0
1446,34,1,704,Sales,28,3,Marketing,2035,4,0,95,2,2,Sales Executive,3,2,6712,8978,1,0,21,4,4,2,8,2,3,8,7,1,7,0
885,25,1,1356,Sales,10,4,Life Sciences,1240,3,1,57,3,2,Sales Executive,4,1,4950,20623,0,0,14,3,2,0,5,4,3,4,3,1,1,0
108,25,1,1280,Research & Development,7,1,Medical,143,4,1,64,2,1,Research Scientist,4,2,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,0
499,33,1,1216,Sales,8,4,Marketing,677,3,1,39,3,2,Sales Executive,3,1,7104,20431,0,0,12,3,4,0,6,3,3,5,0,1,2,0
789,44,1,1376,Human Resources,1,2,Medical,1098,2,1,91,2,3,Human Resources,1,2,10482,2326,9,0,14,3,4,1,24,1,3,20,6,3,6,1
97,28,0,120,Sales,4,3,Medical,129,2,1,43,3,2,Sales Executive,3,2,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,0
388,42,1,201,Research & Development,1,4,Life Sciences,517,2,0,95,3,1,Laboratory Technician,1,1,2576,20490,3,0,16,3,2,1,8,5,3,5,2,1,2,0
109,22,1,534,Research & Development,15,3,Medical,144,2,0,59,3,1,Laboratory Technician,4,1,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0
1380,35,1,682,Sales,18,4,Medical,1945,2,1,71,3,2,Sales Executive,1,2,5561,15975,0,0,16,3,4,1,6,2,1,5,3,0,4,0
1339,22,1,391,Research & Development,7,1,Life Sciences,1878,4,1,75,3,1,Research Scientist,2,1,2472,26092,1,1,23,4,1,0,1,2,3,1,0,0,0,1
560,34,1,167,Research & Development,8,5,Life Sciences,775,2,0,32,3,2,Manufacturing Director,1,1,5121,4187,3,0,14,3,3,1,7,3,3,0,0,0,0,0
373,27,1,1469,Research & Development,1,2,Medical,497,4,1,82,3,1,Laboratory Technician,2,1,3816,17881,1,0,11,3,2,1,5,2,3,5,2,0,4,0
49,35,1,1229,Research & Development,8,1,Life Sciences,63,4,1,36,4,1,Laboratory Technician,4,2,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0
287,38,1,688,Research & Development,23,4,Life Sciences,393,4,1,82,3,2,Healthcare Representative,4,1,5745,18899,9,0,14,3,2,1,10,2,3,2,2,1,2,0
890,54,2,966,Research & Development,1,4,Life Sciences,1245,4,0,53,3,3,Manufacturing Director,3,1,10502,9659,7,0,17,3,1,1,33,2,1,5,4,1,4,0
1200,44,1,528,Human Resources,1,3,Life Sciences,1683,3,0,44,3,1,Human Resources,4,1,3195,4167,4,1,18,3,1,3,8,2,3,2,2,2,2,0
920,34,2,135,Research & Development,19,3,Medical,1285,3,0,46,3,2,Laboratory Technician,2,1,4444,22534,4,0,13,3,3,2,15,2,4,11,8,5,10,0
289,28,1,1117,Research & Development,8,2,Life Sciences,395,4,0,66,3,1,Research Scientist,4,1,3310,4488,1,0,21,4,4,0,5,3,3,5,3,0,2,0
507,29,1,1176,Sales,3,2,Medical,690,2,0,62,3,2,Sales Executive,3,2,5561,3487,1,0,14,3,1,1,6,5,2,6,0,1,2,0
1150,35,1,819,Research & Development,18,5,Life Sciences,1621,2,1,48,4,2,Research Scientist,1,2,5208,26312,1,0,11,3,4,0,16,2,3,16,15,1,10,0
175,56,1,713,Research & Development,8,3,Life Sciences,241,3,0,67,3,1,Research Scientist,1,1,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,0
467,37,0,142,Sales,9,4,Medical,626,1,1,69,3,3,Sales Executive,2,1,8834,24666,1,0,13,3,4,1,9,6,3,9,5,7,7,0
294,37,2,889,Research & Development,9,3,Medical,403,2,1,53,3,1,Research Scientist,4,2,2326,11411,1,1,12,3,3,3,4,3,2,4,2,1,2,0
645,29,1,341,Sales,1,3,Medical,896,2,0,48,2,1,Sales Representative,3,1,2800,23522,6,1,19,3,3,3,5,3,3,3,2,0,2,1
966,58,1,601,Research & Development,7,4,Medical,1360,3,0,53,2,3,Manufacturing Director,1,2,10008,12023,7,1,14,3,4,0,31,0,2,10,9,5,9,1
453,26,2,426,Human Resources,17,4,Life Sciences,608,2,0,58,3,1,Human Resources,3,1,2741,22808,0,1,11,3,2,1,8,2,2,7,7,1,0,1
962,51,1,770,Human Resources,5,3,Life Sciences,1352,3,1,84,3,4,Manager,2,1,14026,17588,1,1,11,3,2,1,33,2,3,33,9,0,10,0
559,38,1,268,Research & Development,2,5,Medical,773,4,1,92,3,1,Research Scientist,3,2,3057,20471,6,1,13,3,2,1,6,0,1,1,0,0,1,0
158,40,1,630,Sales,4,4,Marketing,215,3,1,67,2,3,Sales Executive,4,2,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,0
59,37,1,1115,Research & Development,1,4,Life Sciences,77,1,1,51,2,2,Manufacturing Director,3,1,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0
1052,30,0,990,Research & Development,7,3,Technical Degree,1482,3,1,64,3,1,Research Scientist,3,1,1274,7152,1,0,13,3,2,2,1,2,2,1,0,0,0,0
1170,27,2,591,Research & Development,2,3,Medical,1648,4,1,87,3,1,Research Scientist,4,1,2580,6297,2,0,13,3,3,0,6,0,2,4,2,1,2,0
576,27,2,829,Sales,8,1,Marketing,800,3,1,84,3,2,Sales Executive,4,2,4342,24008,0,0,19,3,2,1,5,3,3,4,2,1,1,0
141,45,1,1316,Research & Development,29,3,Medical,192,3,1,83,3,1,Research Scientist,4,1,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,0
1210,33,1,267,Research & Development,21,3,Medical,1698,2,1,79,4,1,Laboratory Technician,2,2,2028,13637,1,0,18,3,4,3,14,6,3,14,11,2,13,0
401,56,2,906,Sales,6,3,Life Sciences,532,3,0,86,4,4,Sales Executive,1,2,13212,18256,9,0,11,3,4,3,36,0,2,7,7,7,7,0
260,32,2,1311,Research & Development,7,3,Life Sciences,359,2,1,100,4,1,Laboratory Technician,2,2,2794,26062,1,0,20,4,3,0,5,3,1,5,1,0,3,0
324,30,1,1275,Research & Development,28,2,Medical,441,4,0,64,3,2,Research Scientist,4,2,5775,11934,1,0,13,3,4,2,11,2,3,10,8,1,9,0
977,34,0,999,Research & Development,26,1,Technical Degree,1374,1,0,92,2,1,Research Scientist,3,1,2029,15891,1,0,20,4,3,3,5,2,3,5,4,0,0,0
153,45,1,194,Research & Development,9,3,Life Sciences,206,2,1,60,3,2,Laboratory Technician,2,1,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,0
1110,35,1,104,Research & Development,2,3,Life Sciences,1569,1,0,69,3,1,Laboratory Technician,1,1,2074,26619,1,1,12,3,4,1,1,2,3,1,0,0,0,1
189,51,1,313,Research & Development,3,3,Medical,258,4,0,98,3,4,Healthcare Representative,2,1,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0
1224,26,1,390,Research & Development,17,4,Medical,1718,4,1,62,1,1,Laboratory Technician,3,2,2305,6217,1,0,15,3,3,3,3,3,4,3,2,0,2,0
846,35,1,819,Research & Development,2,3,Life Sciences,1182,3,1,44,2,3,Manufacturing Director,2,1,10274,19588,2,0,18,3,2,1,15,2,4,7,7,6,4,0
1118,26,1,474,Research & Development,3,3,Life Sciences,1581,1,0,89,3,1,Research Scientist,4,2,2061,11133,1,0,21,4,1,0,1,5,3,1,0,0,0,0
132,31,1,542,Sales,20,3,Life Sciences,175,2,0,71,1,2,Sales Executive,3,2,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,1
302,28,1,1476,Research & Development,16,2,Medical,412,2,1,68,4,2,Healthcare Representative,1,1,5661,4824,0,0,19,3,3,0,9,2,3,8,3,0,7,0
1433,25,1,1382,Sales,8,2,Other,2018,1,0,85,3,2,Sales Executive,3,1,4907,13684,0,1,22,4,2,1,6,3,2,5,3,0,4,0
791,35,1,1204,Sales,4,3,Technical Degree,1100,4,1,86,3,3,Sales Executive,1,1,9582,10333,0,1,22,4,1,0,9,2,3,8,7,4,7,1
43,27,2,994,Sales,8,3,Life Sciences,56,4,1,37,3,3,Sales Executive,3,1,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0
594,29,1,1252,Research & Development,23,2,Life Sciences,824,3,1,81,4,1,Research Scientist,3,2,2700,23779,1,0,24,4,3,1,10,3,3,10,7,0,7,0
1414,47,1,1180,Research & Development,25,3,Medical,1993,1,1,84,3,3,Healthcare Representative,3,1,8633,13084,2,0,23,4,2,0,25,3,3,17,14,12,11,0
1448,41,1,930,Sales,3,3,Life Sciences,2037,3,1,57,2,2,Sales Executive,2,1,8938,12227,2,0,11,3,3,1,14,5,3,5,4,0,4,0
1196,41,1,1206,Sales,23,2,Life Sciences,1678,4,1,80,3,3,Sales Executive,3,1,7082,11591,3,1,16,3,4,0,21,2,3,2,0,0,2,0
262,32,1,128,Research & Development,2,1,Technical Degree,362,4,1,84,2,2,Laboratory Technician,1,1,2176,19737,4,0,13,3,4,0,9,5,3,6,2,0,4,0
1081,35,1,1029,Research & Development,16,3,Life Sciences,1529,4,0,91,2,3,Healthcare Representative,2,1,8606,21195,1,0,19,3,4,0,11,3,1,11,8,3,3,0
1144,31,2,715,Sales,2,4,Other,1613,4,1,54,3,2,Sales Executive,1,1,5332,21602,7,0,13,3,4,0,10,3,3,5,2,0,3,0
367,50,1,1046,Research & Development,10,3,Technical Degree,491,4,1,100,2,3,Healthcare Representative,4,1,10496,2755,6,0,15,3,4,0,20,2,3,4,3,1,3,0
1071,49,1,271,Research & Development,3,2,Medical,1509,3,0,43,2,2,Laboratory Technician,1,2,4789,23070,4,0,25,4,1,1,10,3,3,3,2,1,2,0
1275,51,1,942,Research & Development,3,3,Technical Degree,1786,1,0,53,3,3,Manager,3,2,13116,22984,2,0,11,3,4,0,15,2,3,2,2,2,2,0
888,35,0,1212,Sales,8,2,Marketing,1243,3,0,78,2,3,Sales Executive,4,2,10377,13755,4,1,11,3,2,1,16,6,2,13,2,4,12,0
692,32,1,498,Research & Development,3,4,Medical,966,3,0,93,3,2,Manufacturing Director,1,2,6725,13554,1,0,12,3,3,1,8,2,4,8,7,6,3,0
1214,44,1,921,Research & Development,2,3,Life Sciences,1703,3,0,96,4,3,Healthcare Representative,4,2,7879,14810,1,1,19,3,2,1,9,2,3,8,7,6,7,0
522,37,1,1225,Research & Development,10,2,Life Sciences,715,4,1,80,4,1,Research Scientist,4,1,4680,15232,3,0,17,3,1,0,4,2,3,1,0,0,0,0
518,38,1,243,Sales,7,4,Marketing,709,4,0,46,2,2,Sales Executive,4,1,4028,7791,0,0,20,4,1,0,8,2,3,7,7,0,5,0
1467,27,1,155,Research & Development,4,3,Life Sciences,2064,2,1,87,4,2,Manufacturing Director,2,2,6142,5174,1,1,20,4,2,1,6,0,3,6,2,0,3,0
598,28,1,890,Research & Development,2,4,Medical,828,3,1,46,3,1,Research Scientist,3,1,4382,16374,6,0,17,3,4,0,5,3,2,2,2,2,1,1
335,40,1,1124,Sales,1,2,Medical,453,2,1,57,1,2,Sales Executive,4,2,7457,13273,2,1,22,4,3,3,6,2,2,4,3,0,2,0
996,27,1,205,Sales,10,3,Marketing,1403,4,0,98,2,2,Sales Executive,4,2,5769,7100,1,1,11,3,4,0,6,3,3,6,2,4,4,0
283,55,1,147,Research & Development,20,2,Technical Degree,389,2,1,37,3,2,Laboratory Technician,4,2,5415,15972,3,1,19,3,4,1,12,4,3,10,7,0,8,0
1169,27,1,486,Research & Development,8,3,Medical,1647,2,0,86,4,1,Research Scientist,3,2,3517,22490,7,0,17,3,1,0,5,0,3,3,2,0,2,0
408,52,1,1490,Research & Development,4,2,Life Sciences,546,4,0,30,3,4,Manager,4,2,16555,10310,2,0,13,3,4,0,31,2,1,5,2,1,4,0
384,36,1,164,Sales,2,2,Medical,513,2,1,61,2,3,Sales Executive,3,2,7596,3809,1,0,13,3,2,2,10,2,3,10,9,9,0,0
869,46,1,1450,Research & Development,15,2,Life Sciences,1217,4,1,52,3,5,Research Director,2,2,19081,10849,5,0,11,3,1,1,25,2,3,4,2,0,3,0
577,37,1,571,Research & Development,10,1,Life Sciences,802,4,0,82,3,1,Research Scientist,1,1,2782,19905,0,1,13,3,2,2,6,3,2,5,3,4,3,0
516,23,1,885,Research & Development,4,3,Medical,705,1,1,58,4,1,Research Scientist,1,2,2819,8544,2,0,16,3,1,1,5,3,4,3,2,0,2,0
1162,35,1,737,Sales,10,3,Medical,1639,4,1,55,2,3,Sales Executive,1,2,10306,21530,9,0,17,3,3,0,15,3,3,13,12,6,0,1
990,33,2,1111,Sales,5,1,Life Sciences,1395,2,1,61,3,2,Sales Executive,4,2,9998,19293,6,0,13,3,1,0,8,2,4,5,4,1,2,0
617,44,1,625,Research & Development,4,3,Medical,852,4,1,50,3,2,Healthcare Representative,2,1,5933,5197,9,0,12,3,4,0,10,2,2,5,2,2,3,0
85,56,1,1400,Research & Development,7,3,Life Sciences,112,4,1,49,1,3,Manufacturing Director,4,1,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0
773,36,1,796,Research & Development,12,5,Medical,1073,4,0,51,2,3,Manufacturing Director,4,1,8858,15669,0,0,11,3,2,0,15,2,2,14,8,7,8,0
715,33,2,827,Research & Development,1,4,Other,998,3,0,84,4,2,Healthcare Representative,2,2,5488,20161,1,1,13,3,1,1,6,2,3,6,5,1,2,0
221,33,1,147,Research & Development,4,4,Medical,305,3,0,47,2,1,Research Scientist,2,2,2622,13248,6,0,21,4,4,0,7,3,3,3,2,1,1,0
1006,49,2,1475,Research & Development,28,2,Life Sciences,1420,1,1,97,2,2,Laboratory Technician,1,1,4284,22710,3,0,20,4,1,0,20,2,3,4,3,1,3,1
1384,34,1,937,Sales,1,3,Marketing,1950,1,1,32,3,3,Sales Executive,4,1,9888,6770,1,0,21,4,1,0,14,3,2,14,8,2,1,0
98,58,1,682,Sales,10,4,Medical,131,4,1,37,3,4,Sales Executive,3,1,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0
244,45,1,252,Research & Development,1,3,Other,336,3,1,70,4,5,Manager,4,2,19202,15970,0,0,11,3,3,1,25,2,3,24,0,1,7,0
314,39,1,117,Research & Development,10,1,Medical,429,3,1,99,3,4,Manager,1,2,17068,5355,1,1,14,3,4,0,21,3,3,21,9,11,10,0
753,39,2,945,Research & Development,22,3,Medical,1043,4,0,82,3,3,Manufacturing Director,1,1,10880,5083,1,1,13,3,3,0,21,2,3,21,6,2,8,0
1136,28,1,329,Research & Development,24,3,Medical,1604,3,1,51,3,1,Laboratory Technician,2,2,2408,7324,1,1,17,3,3,3,1,3,3,1,1,0,0,1
963,38,1,1009,Sales,2,2,Life Sciences,1355,2,0,31,3,2,Sales Executive,1,1,6893,19461,3,0,15,3,4,1,11,3,3,7,7,1,7,0
301,18,1,812,Sales,10,3,Medical,411,4,0,69,2,1,Sales Representative,3,1,1200,9724,1,0,12,3,1,0,0,2,3,0,0,0,0,0
1187,38,2,1189,Research & Development,1,3,Life Sciences,1668,4,1,90,3,2,Research Scientist,4,2,4735,9867,7,0,15,3,4,2,19,4,4,13,11,2,9,0
165,50,1,1452,Research & Development,11,3,Life Sciences,226,3,0,53,3,5,Manager,2,1,19926,17053,3,0,15,3,2,0,21,5,3,5,4,4,4,0
465,46,2,1034,Research & Development,18,1,Medical,624,1,0,86,3,3,Healthcare Representative,3,2,10527,8984,5,0,11,3,4,0,28,3,2,2,2,1,2,0
646,53,1,868,Sales,8,3,Marketing,897,1,1,73,3,4,Sales Executive,4,2,11836,22789,5,0,14,3,3,1,28,3,3,2,0,2,2,0
101,32,1,827,Research & Development,1,1,Life Sciences,134,4,1,71,3,1,Research Scientist,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,0
1287,42,1,1128,Research & Development,13,3,Medical,1803,2,1,95,4,2,Healthcare Representative,1,2,5538,5696,5,0,18,3,3,2,10,2,2,0,0,0,0,0
1325,42,1,1142,Research & Development,8,3,Life Sciences,1860,4,1,81,3,1,Laboratory Technician,3,1,3968,13624,4,0,13,3,4,0,8,3,3,0,0,0,0,0
1444,56,1,310,Research & Development,7,2,Technical Degree,2032,4,1,72,3,1,Laboratory Technician,3,2,2339,3666,8,0,11,3,4,1,14,4,1,10,9,9,8,1
224,31,0,979,Research & Development,1,4,Medical,308,3,1,90,1,2,Manufacturing Director,3,2,4345,4381,0,0,12,3,4,1,6,2,3,5,4,1,4,0
1465,36,2,884,Research & Development,23,2,Medical,2061,3,1,41,4,2,Laboratory Technician,4,2,2571,12290,4,0,17,3,3,1,17,3,3,5,2,0,3,0
201,49,0,1002,Research & Development,18,4,Life Sciences,275,4,1,92,3,2,Manufacturing Director,4,1,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,0
714,50,1,1126,Research & Development,1,2,Medical,997,4,1,66,3,4,Research Director,4,1,17399,6615,9,0,22,4,3,1,32,1,2,5,4,1,3,0
468,52,1,956,Research & Development,6,2,Technical Degree,630,4,1,78,3,2,Research Scientist,1,1,5577,22087,3,1,12,3,2,2,18,3,3,10,9,6,9,0
403,41,1,645,Sales,1,3,Marketing,534,2,1,49,4,3,Sales Executive,1,2,8392,19566,1,0,16,3,3,1,10,2,3,10,7,0,7,0
75,31,1,746,Research & Development,8,4,Life Sciences,98,3,0,61,3,2,Manufacturing Director,4,1,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0
697,29,2,1404,Sales,20,3,Technical Degree,974,3,0,84,3,1,Sales Representative,4,2,2157,18203,1,0,15,3,2,1,3,5,3,3,1,0,2,0
196,35,2,138,Research & Development,2,3,Medical,269,2,0,37,3,2,Laboratory Technician,2,1,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0
1049,30,1,1358,Sales,16,1,Life Sciences,1479,4,1,96,3,2,Sales Executive,3,2,5301,2939,8,0,15,3,3,2,4,2,2,2,1,2,2,0
68,35,2,664,Research & Development,1,3,Medical,88,2,1,79,3,1,Research Scientist,1,2,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0
391,40,1,555,Research & Development,2,3,Medical,521,2,0,78,2,2,Laboratory Technician,3,2,3448,13436,6,0,22,4,2,1,20,3,3,1,0,0,0,0
3,33,2,1392,Research & Development,3,4,Life Sciences,5,4,0,56,3,1,Research Scientist,3,2,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0
951,41,0,256,Sales,10,2,Medical,1329,3,1,40,1,2,Sales Executive,2,1,6151,22074,1,0,13,3,1,0,19,4,3,19,2,11,9,0
671,34,1,546,Research & Development,10,3,Life Sciences,934,2,1,83,3,1,Laboratory Technician,2,1,2008,6896,1,0,14,3,2,2,1,3,3,1,0,1,0,0
1328,27,1,728,Sales,23,1,Medical,1864,2,0,36,2,2,Sales Representative,3,2,3540,7018,1,0,21,4,4,1,9,5,3,9,8,5,8,0
1466,39,1,613,Research & Development,6,1,Medical,2062,4,1,42,2,3,Healthcare Representative,1,2,9991,21457,4,0,15,3,1,1,9,5,3,7,7,1,7,0
441,42,2,1474,Research & Development,5,2,Other,591,2,1,97,3,1,Laboratory Technician,3,2,2093,9260,4,0,17,3,4,1,8,4,3,2,2,2,0,0
1055,34,2,829,Research & Development,15,3,Medical,1485,2,1,71,3,4,Research Director,1,1,17007,11929,7,0,14,3,4,2,16,3,2,14,8,6,9,0
1250,29,2,461,Research & Development,1,3,Life Sciences,1753,4,1,70,4,2,Healthcare Representative,3,1,6294,23060,8,1,12,3,4,0,10,5,4,3,2,0,2,0
1453,36,1,1120,Sales,11,4,Marketing,2045,2,0,100,2,2,Sales Executive,4,2,6652,14369,4,0,13,3,1,1,8,2,2,6,3,0,0,0
306,32,1,906,Sales,7,3,Life Sciences,420,4,1,91,2,2,Sales Executive,3,2,5484,16985,1,0,14,3,3,1,13,3,2,13,8,4,8,0
166,41,1,465,Research & Development,14,3,Life Sciences,227,1,1,56,3,1,Research Scientist,3,1,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,0
588,50,1,691,Research & Development,2,3,Medical,815,3,1,64,3,4,Research Director,3,2,17639,6881,5,0,16,3,4,0,30,3,3,4,3,0,3,0
510,54,1,397,Human Resources,19,4,Medical,698,3,1,88,3,3,Human Resources,2,2,10725,6729,2,0,15,3,3,1,16,1,4,9,7,7,1,0
986,39,1,1498,Sales,21,4,Life Sciences,1390,1,1,44,2,2,Sales Executive,4,2,6120,3567,3,1,12,3,4,2,8,2,4,5,4,1,4,0
249,45,2,1199,Research & Development,7,4,Life Sciences,341,1,1,77,4,2,Manufacturing Director,3,2,6434,5118,4,0,17,3,4,1,9,1,3,3,2,0,2,0
243,40,1,1300,Research & Development,24,2,Technical Degree,335,1,1,62,3,2,Research Scientist,4,1,3319,24447,1,0,17,3,1,2,9,3,3,9,8,4,7,0
202,34,2,878,Research & Development,10,4,Medical,277,4,1,43,3,1,Research Scientist,3,1,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,0
1455,40,1,1322,Research & Development,2,4,Life Sciences,2048,3,1,52,2,1,Research Scientist,3,1,2809,2725,2,0,14,3,4,0,8,2,3,2,2,2,2,0
766,50,1,1464,Research & Development,2,4,Medical,1061,2,1,62,3,5,Research Director,3,2,19237,12853,2,1,11,3,4,1,29,2,2,8,1,7,7,0
1083,40,1,676,Research & Development,9,4,Life Sciences,1534,4,1,86,3,1,Laboratory Technician,1,1,2018,21831,3,0,14,3,2,0,15,3,1,5,4,1,0,1
1437,39,0,105,Research & Development,9,3,Life Sciences,2022,4,1,87,3,5,Manager,4,1,19431,15302,2,0,13,3,3,0,21,3,2,6,0,1,3,0
62,50,1,989,Research & Development,7,2,Medical,80,2,0,43,2,5,Research Director,3,1,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0
508,35,1,1017,Research & Development,6,4,Life Sciences,691,2,1,82,1,2,Research Scientist,4,1,6646,19368,1,0,13,3,2,0,17,3,3,17,11,11,8,0
149,19,1,1181,Research & Development,3,1,Medical,201,2,0,79,3,1,Laboratory Technician,2,1,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,0
667,41,1,1085,Research & Development,2,4,Life Sciences,927,2,0,57,1,1,Laboratory Technician,4,1,2778,17725,4,1,13,3,3,1,10,1,2,7,7,1,0,1
329,47,1,1482,Research & Development,5,5,Life Sciences,447,4,1,42,3,5,Research Director,3,2,18300,16375,4,0,11,3,2,1,21,2,3,3,2,1,1,0
807,38,1,770,Sales,10,4,Marketing,1119,3,1,73,2,3,Sales Executive,3,1,8740,5569,0,1,14,3,2,2,9,2,3,8,7,2,7,0
427,60,2,1499,Sales,28,3,Marketing,573,3,0,80,2,3,Sales Executive,1,2,10266,2845,4,0,19,3,4,0,22,5,4,18,13,13,11,0
767,37,1,124,Research & Development,3,3,Other,1062,4,0,35,3,2,Healthcare Representative,2,1,4107,13848,3,0,15,3,1,0,8,3,2,4,3,0,1,0
1207,55,1,1441,Research & Development,22,3,Technical Degree,1694,1,1,94,2,1,Research Scientist,2,1,3537,23737,5,0,12,3,4,1,8,1,3,4,2,1,2,0
369,31,1,408,Research & Development,9,4,Life Sciences,493,3,1,42,2,1,Research Scientist,2,1,2657,7551,0,1,16,3,4,0,3,5,3,2,2,2,2,0
699,52,1,1053,Research & Development,1,2,Life Sciences,976,4,1,70,3,4,Manager,4,2,17099,13829,2,0,15,3,2,1,26,2,2,9,8,7,8,0
736,48,1,1355,Research & Development,4,4,Life Sciences,1024,3,1,78,2,3,Healthcare Representative,3,1,10999,22245,7,0,14,3,2,0,27,3,3,15,11,4,8,0
520,48,1,817,Sales,2,1,Marketing,712,2,1,56,4,2,Sales Executive,2,2,8120,18597,3,0,12,3,4,0,12,3,3,2,2,2,2,0
971,51,1,1405,Research & Development,11,2,Technical Degree,1367,4,0,82,2,4,Manufacturing Director,2,1,13142,24439,3,0,16,3,2,0,29,1,2,5,2,0,3,0
1191,31,1,1112,Sales,5,4,Life Sciences,1673,1,0,67,3,2,Sales Executive,4,2,5476,22589,1,0,11,3,1,2,10,2,3,10,0,0,2,0
476,24,1,823,Research & Development,17,2,Other,643,4,1,94,2,1,Laboratory Technician,2,2,2127,9100,1,0,21,4,4,1,1,2,3,1,0,0,0,0
870,35,1,1361,Sales,17,4,Life Sciences,1218,3,1,94,3,2,Sales Executive,1,2,8966,21026,3,1,15,3,4,3,15,2,3,7,7,1,7,0
